track_id,artist,title,field,baseline,candidate,changed
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,identified,True,False,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,confidence,high,low,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,artists,Jorge Savoretti,Jorge Savoretti,False
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,title,You Taste Better Than Danger,You Taste Better Than Danger,False
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,mix_name,,,False
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,remixers,,,False
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,featured_artists,,,False
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,record_label,Savor Music,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,catalog_number,,,False
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,release_title,You Taste Better Than Danger EP,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,release_type,EP,unknown,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,release_year,2012,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,formats,vinyl; digital,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,primary_genre,minimal house,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,subgenres,microhouse,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,bpm_estimate,,,False
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,musical_key,,,False
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,energy,medium,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,mood_tags,groovy; playful; hypnotic,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,dj_set_role,any,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,groove,"Slinky, subtly swinging groove with a playful bounce.",,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,percussion,crisp hi-hats; snappy claps; light shakers,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,bassline,"Warm, rounded bassline with a rolling, rubbery feel.",,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,vocals,,,False
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,melodic_elements,quirky synth stabs; filtered textures,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,texture,clean; detailed; subtle,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,emotional_character,Playful and hypnotic with a touch of mischief.,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,dancefloor_effect,Keeps the floor moving with understated funk and infectious groove.,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,review_blurb,"Jorge Savoretti's 'You Taste Better Than Danger' is a microhouse gem that balances playful energy with hypnotic subtlety. Crisp percussion and a rubbery bassline underpin quirky synth stabs, creating a slinky, infectious groove. It's a versatile tool for DJs, perfect for weaving understated funk into any set.",,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,description_basis,known track,unknown,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,similar_artists,Franco Cinelli; Barem; Seuil; Martinez; Federico Molinari,,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,description,"A standout cut from Savoretti's 2012 EP on Savor Music, this track is a playful, groovy microhouse roller with crisp percussion and a warm, rolling bassline. Its subtle textures and quirky synths make it a favorite for DJs seeking understated dancefloor energy.",Track not known: no reliable information available.,True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,artist_details,"[{""name"": ""Jorge Savoretti"", ""real_name"": ""Jorge Savoretti"", ""aliases"": [], ""country"": ""Argentina"", ""city"": ""Rosario"", ""active_since"": 2005, ""associated_labels"": [""Savor Music"", ""Esperanza"", ""Airdrop""], ""associated_acts"": [""Franco Cinelli""], ""short_bio"": ""Jorge Savoretti is an Argentinian DJ and producer known for his deep, groovy minimal house and microhouse releases, co-founding the Savor Music label.""}]","[{""name"": ""Jorge Savoretti"", ""real_name"": null, ""aliases"": [], ""country"": ""Argentina"", ""city"": ""Rosario"", ""active_since"": null, ""associated_labels"": [""Savor Music"", ""Esperanza""], ""associated_acts"": [], ""short_bio"": ""Argentine DJ/producer from Rosario, co-runs Savor Music and has released on Esperanza and other minimal/house imprints.""}]",True
0aa5a9c3df44,(unknown),JORGE SAVORETTI - You Taste Better Than Danger,parsing_notes,"Artist was '(unknown)'; parsed artist and title from title field, removed all-caps and formatted to canonical spelling.","Artist field was '(unknown)'. Parsed 'JORGE SAVORETTI - You Taste Better Than Danger' from the title; split on hyphen into artist and track title, and normalised capitalization.",True
33bc67720e1e,(unknown),Guido Schneider - poker flat 47 - B1 - Moved (Refreshed),identified,True,False,True
33bc67720e1e,(unknown),Guido Schneider - poker flat 47 - B1 - Moved (Refreshed),confidence,high,low,True
33bc67720e1e,(unknown),Guido Schneider - poker flat 47 - B1 - Moved (Refreshed),artists,Guido Schneider,Guido Schneider,False
33bc67720e1e,(unknown),Guido Schneider - poker flat 47 - B1 - Moved (Refreshed),title,Moved,Moved,False
33bc67720e1e,(unknown),Guido Schneider - poker flat 47 - B1 - Moved (Refreshed),mix_name,Refreshed,Refreshed,False
